employee_id,department,job_level,salary_monthly,tenure_days,num_withdrawals_last_30d,num_withdrawals_last_90d,avg_withdraw_amount,avg_withdraw_pct_of_salary,last_withdraw_days_ago,savings_balance,other_loans,label_request_next_cycle
E00000,ops,junior,20000,903,1,2,1992.851889025864,0.0996425944512932,2,6400.64874497433,1,0
E00001,hr,mid,20000,223,0,0,314.73739998636796,0.0157368699993184,107,4816.72838453416,0,0
E00002,hr,junior,25000,56,0,0,1680.1493499335934,0.06720597399734374,138,2480.1826802468195,0,0
E00003,sales,junior,25000,61,0,0,6429.755766045223,0.2571902306418089,142,3879.2986797510066,0,0
E00004,sales,mid,15000,486,1,1,664.0379945113303,0.044269199634088686,39,5264.52042291133,1,0
E00005,engineering,mid,15000,111,0,1,3949.7502635981255,0.26331668423987503,150,1345.8387573096595,0,0
E00006,engineering,mid,15000,34,0,0,1819.7859108945254,0.12131906072630169,103,1134.8871106616236,1,1
E00007,sales,mid,25000,105,0,0,3343.9185107790677,0.1337567404311627,149,1913.6535820915924,0,0
E00008,sales,junior,20000,109,0,0,3497.9103359821274,0.17489551679910637,92,3657.2640288007597,0,0
E00009,hr,junior,20000,357,1,1,2870.2402340582767,0.14351201170291383,26,21220.1849130763,0,0
E00010,engineering,junior,20000,487,0,0,2656.077250200528,0.1328038625100264,140,208.14879897172602,0,0
E00011,hr,junior,35000,128,1,1,4409.1704131860715,0.12597629751960204,31,10491.66853580497,0,0
E00012,hr,junior,25000,90,0,1,3791.7302196510914,0.15166920878604365,80,10905.662846983067,1,0
E00013,support,junior,35000,279,0,1,4606.792733650257,0.13162264953286448,101,967.4702020830399,0,0
E00014,sales,mid,35000,382,0,1,1475.2716383013085,0.04215061823718024,68,4986.6719286824155,0,0
E00015,engineering,senior,15000,384,2,2,5382.240707339423,0.35881604715596155,24,2007.9902591174384,0,0
E00016,engineering,junior,20000,63,1,1,4437.854660314078,0.2218927330157039,47,23052.848739231587,0,0
E00017,hr,senior,35000,44,1,1,5784.499164078742,0.16527140468796406,36,8004.749661542437,0,0
E00018,sales,mid,25000,173,1,1,4762.126717276515,0.1904850686910606,15,2232.9251210387233,0,0
E00019,ops,junior,50000,183,0,2,3996.541129441277,0.07993082258882554,123,2841.5740284072417,0,0
E00020,support,mid,35000,357,1,1,1033.0895464396424,0.029516844183989786,16,3635.5497818582394,0,0
E00021,ops,mid,20000,132,0,0,1343.3133082829481,0.06716566541414741,93,3124.39511217452,0,0
E00022,ops,mid,15000,140,0,1,1794.5471263388433,0.11963647508925622,92,14086.27727693576,0,0
E00023,ops,junior,35000,515,0,0,3044.482203862274,0.08698520582463641,175,4814.997550090254,0,0
E00024,engineering,junior,15000,505,2,2,2643.6150645705934,0.17624100430470624,9,4202.673885476561,0,0
E00025,engineering,junior,35000,125,0,1,2077.184560119604,0.05934813028913155,172,2468.3521478048383,0,0
E00026,support,junior,50000,28,0,1,5857.376294076808,0.11714752588153617,83,7600.181461729461,0,0
E00027,engineering,mid,25000,174,1,1,6167.107086649746,0.24668428346598983,13,1258.8496301207517,0,0
E00028,ops,junior,15000,1294,1,1,788.3914957211598,0.05255943304807732,44,4086.802037807465,0,0
E00029,support,senior,20000,155,1,1,1001.1196448420362,0.05005598224210181,49,432.6464934585315,0,0
E00030,engineering,senior,50000,13,1,2,7864.66183797421,0.1572932367594842,31,27400.845204015248,0,0
E00031,hr,senior,20000,901,0,0,1024.7658205187813,0.05123829102593907,110,1545.8084152506524,0,0
E00032,support,junior,25000,111,2,2,1729.16039744263,0.0691664158977052,56,10464.11278443559,0,0
E00033,hr,mid,35000,1309,1,1,8764.746114363708,0.2504213175532488,1,68.83143418138043,0,1
E00034,ops,mid,50000,243,1,2,12049.201334349322,0.24098402668698643,28,1564.4693928385411,0,0
E00035,hr,senior,25000,573,0,1,263.4865279425884,0.010539461117703536,126,8174.924054297287,1,0
E00036,sales,junior,25000,242,0,0,2565.9641832711277,0.1026385673308451,141,14930.952076873338,0,0
E00037,hr,junior,25000,1174,0,0,4838.682871998842,0.19354731487995366,155,2556.6328203305166,0,0
E00038,hr,junior,35000,192,0,0,861.4621283735027,0.024613203667814363,81,3978.284475936219,0,0
E00039,hr,junior,25000,351,1,1,1410.3695226321893,0.05641478090528757,1,441.5174625883432,0,0
E00040,engineering,junior,25000,288,2,2,3330.0095831522026,0.1332003833260881,45,10095.11928800433,0,0
E00041,ops,mid,20000,6,0,1,2126.026864905892,0.10630134324529461,169,3265.6156984409995,0,0
E00042,hr,senior,25000,142,0,1,788.0392645665527,0.031521570582662105,81,829.4414629491293,0,0
E00043,hr,junior,35000,17,2,3,9308.808690248115,0.26596596257851757,11,4238.637807292933,0,1
E00044,ops,mid,35000,66,0,1,3739.3172424071968,0.10683763549734848,63,266.07325728560664,0,0
E00045,hr,junior,20000,346,0,2,2542.7287770196394,0.12713643885098197,177,6562.7568173025375,1,1
E00046,support,mid,35000,14,0,0,1059.2798722061707,0.03026513920589059,138,3701.879781730222,0,0
E00047,engineering,mid,25000,375,0,0,3263.1939493582645,0.13052775797433058,126,3921.411910888817,1,0
E00048,engineering,mid,20000,393,2,2,4078.373592159912,0.2039186796079956,4,4218.567781930715,1,0
E00049,engineering,mid,25000,142,0,1,2450.0386659714877,0.09800154663885952,175,5920.008545438084,0,0
E00050,hr,junior,50000,125,0,0,21587.162778301143,0.43174325556602283,157,91.38090203248618,0,1
E00051,sales,junior,35000,6,0,2,2647.783350529875,0.07565095287228214,161,20945.869945603532,0,0
E00052,ops,junior,20000,280,0,0,5364.90725339439,0.2682453626697195,150,12619.627380765209,0,0
E00053,sales,senior,25000,10,0,1,5930.72326347924,0.2372289305391696,86,65.90472412829614,0,0
E00054,engineering,junior,20000,26,1,1,6444.32436754556,0.322216218377278,45,2371.8734215369695,1,1
E00055,hr,mid,25000,222,2,2,248.2645748748534,0.009930582994994136,46,3738.8454818498585,1,0
E00056,engineering,senior,20000,240,0,1,1285.1777717759662,0.06425888858879832,68,523.7001674243566,0,1
E00057,hr,junior,15000,156,0,1,991.83768285906,0.066122512190604,142,11159.315104109137,1,0
E00058,sales,junior,20000,10,0,2,948.4485831976706,0.04742242915988353,90,3341.6016483095823,1,0
E00059,ops,mid,35000,360,1,2,989.806246968622,0.02828017848481777,21,8438.468523861013,0,0
E00060,engineering,junior,35000,69,0,0,5813.688178706991,0.16610537653448545,106,240.5233214598861,0,0
E00061,hr,junior,35000,21,1,2,1975.2506516627848,0.056435732904650995,56,1209.9780662202365,0,0
E00062,support,junior,35000,931,0,1,6619.9182518522475,0.1891405214814928,85,1414.481268792658,0,1
E00063,sales,senior,15000,32,1,3,3349.4741967199784,0.2232982797813319,17,5376.188575852013,0,0
E00064,ops,junior,25000,15,0,0,1900.115737080741,0.07600462948322964,139,5977.0522844644265,0,0
E00065,sales,mid,35000,16,1,2,14938.39418040937,0.42681126229741057,26,6450.682186101888,0,0
E00066,hr,junior,35000,220,0,0,7048.379559251845,0.2013822731214813,78,13989.959213963315,0,0
